f1,f2,MAC1,MAC2,LABEL
4.9703,10.885,0.9980107223,0.9778066701,6
4.9742,10.833,0.9977317936,0.9769047571,6
5.8995,13.799,0.9999519568,0.9995594085,7
5.9281,13.928,0.9998831800,0.9990291325,7
5.885,13.768,0.9999357820,0.9995138488,7
5.9241,13.941,0.9998320339,0.9987926813,7
5.8374,13.674,0.9998896819,0.9989254487,7
5.8671,13.797,0.9998084030,0.9983923505,7
5.8543,13.76,0.9998086497,0.9985249823,7
5.8324,13.693,0.9998187059,0.9986645556,7
5.8567,13.831,0.9996485239,0.9972306794,7
5.8611,13.885,0.9995189186,0.9961016649,7
5.879,13.946,0.9994685451,0.9963365292,7
5.8391,13.859,0.9993948376,0.9951395070,7
5.781,13.647,0.9995651339,0.9966587008,7
5.7901,13.717,0.9994110693,0.9954522910,7
5.7344,13.544,0.9994806724,0.9957356426,7
5.8106,13.846,0.9991110006,0.9935923269,7
5.7553,13.628,0.9993589807,0.9958298483,7
5.7876,13.834,0.9988629197,0.9915691493,7
5.7107,13.556,0.9991681413,0.9939272590,7
5.7119,13.576,0.9990843816,0.9937301996,7
5.665,13.421,0.9991936833,0.9945322231,8
5.6474,13.389,0.9991249425,0.9940585988,8
5.6752,13.571,0.9985994445,0.9896697766,8
5.6338,13.434,0.9987210717,0.9907844241,8
5.635,13.476,0.9985059257,0.9893866164,8
5.6489,13.559,0.9982410998,0.9880528555,8
5.6132,13.433,0.9983923232,0.9896653764,8
5.6703,13.713,0.9976139750,0.9847369601,8
5.5857,13.443,0.9978561825,0.9852356459,8
5.5724,13.412,0.9978189144,0.9857707008,8
5.5512,13.374,0.9976802573,0.9848742894,8
5.5644,13.479,0.9971866344,0.9817758188,8
5.5233,13.365,0.9971818177,0.9815227104,8
5.4548,13.142,0.9974365306,0.9827955173,8
5.4678,13.263,0.9967680226,0.9779909126,8
5.437,13.185,0.9967084805,0.9777912822,8
5.4115,13.138,0.9965114399,0.9764225779,8
5.3903,13.077,0.9965739114,0.9782632148,8
5.3827,13.121,0.9960121736,0.9742268351,8
5.3716,13.16,0.9953499520,0.9690378953,8
5.3653,13.174,0.9951076203,0.9691278203,9
5.3414,13.154,0.9946374844,0.9655599193,9
5.3192,13.102,0.9946018886,0.9670239979,9
5.279,13.003,0.9944937074,0.9663446433,9
5.2999,13.183,0.9932496257,0.9589958617,9
5.2571,13.071,0.9931928960,0.9589357121,9
5.2325,13.059,0.9925896928,0.9549302752,9
5.1953,12.957,0.9926234737,0.9566642646,9
5.1746,12.964,0.9919262624,0.9525697214,9
5.1646,13.011,0.9911297819,0.9490399855,9
5.096,12.821,0.9910688135,0.9467015688,9
5.0381,12.665,0.9909882471,0.9455039617,9
5.0507,12.838,0.9894230740,0.9376549331,9
5.0128,12.764,0.9891118647,0.9372448743,9
4.9603,12.653,0.9886611618,0.9334569872,9
4.9341,12.653,0.9878281831,0.9299046335,9
4.8892,12.561,0.9874892177,0.9292326508,9
4.8414,12.474,0.9869418954,0.9261616937,9
4.8191,12.505,0.9858640509,0.9225466333,9
4.7779,12.462,0.9850019126,0.9185632360,9
5.8789,13.543,0.9999223719,0.9992107526,1
5.8331,13.432,0.9999398908,0.9994841694,1
5.8683,13.514,0.9999262224,0.9987750087,1
5.8509,13.465,0.9999241369,0.9986753647,1
5.86,13.411,0.9997742592,0.9976896549,1
5.8546,13.419,0.9998312354,0.9974849687,1
5.8287,13.298,0.9996943152,0.9971304143,1
5.861,13.354,0.9996210197,0.9954901603,1
